Word	Simplified	Traditional	Frequency	Pinyin	Definition
# CC-CEDICT single-character fillers for FG gaps. CC BY-SA 4.0 https://www.mdbg.net/chinese/dictionary?page=cc-cedict
# Gloss/pinyin only; frequency=0 and length=1 so DictSegmenter multiCharSurfaces ignores these.
丁	丁	丁	0	dīng	1. surname Ding
丁	丁	丁	0	dīng	1. male adult; 2. the 4th of the 10 Heavenly Stems 天干[tian1 gan1]; 3. fourth (used like "4" or "D"); 4. small cube of meat or vegetable; 5. (literary) to encounter; 6. (archaic) ancient Chinese compass point: 195°; 7. (chemistry) butyl
丁	丁	丁	0	zhēng	1. used in 丁丁[zheng1 zheng1]
且	且	且	0	qiě	1. and; 2. moreover; 3. yet; 4. for the time being; 5. to be about to; 6. both (... and...)
丕	丕	丕	0	pī	1. grand
喪	丧	喪	0	sāng	1. mourning; 2. funeral; 3. (old) corpse
喪	丧	喪	0	sàng	1. to lose sth abstract but important (courage, authority, one's life etc); 2. to be bereaved of (one's spouse etc); 3. to die; 4. disappointed; 5. discouraged
丰	丰	丰	0	fēng	1. luxuriant; 2. buxom; 3. variant of 豐|丰[feng1]; 4. variant of 風|风[feng1]; 5. appearance; 6. charm; 7. abundant; 8. plentiful; 9. fertile; 10. plump; 11. great
豐	丰	豐	0	fēng	1. surname Feng
臨	临	臨	0	lín	1. to face; 2. to overlook; 3. to arrive; 4. to be (just) about to; 5. just before
久	久	久	0	jiǔ	1. (of a period of time) long
乎	乎	乎	0	hū	1. (classical particle similar to 於|于[yu2]) in; 2. at; 3. from; 4. because; 5. than; 6. (classical final particle similar to 嗎|吗[ma5], 吧[ba5], 呢[ne5], expressing question, doubt or astonishment)
乒	乒	乒	0	pīng	1. (onom.) ping; 2. bing
乓	乓	乓	0	pāng	1. (onom.) bang
乘	乘	乘	0	chéng	1. surname Cheng
乘	乘	乘	0	chéng	1. to ride; 2. to mount; 3. to make use of; 4. to avail oneself of; 5. to take advantage of; 6. to multiply (math.); 7. Buddhist sect or creed; 8. old variant of 乘[cheng2]
乘	乘	乘	0	shèng	1. (archaic) four horse military chariot; 2. (archaic) four; 3. generic term for history books
習	习	習	0	xí	1. surname Xi
習	习	習	0	xí	1. (bound form) to practice; 2. to study; 3. habit; 4. custom
予	予	予	0	yú	1. (archaic) I; 2. me
予	予	予	0	yǔ	1. (literary) to give
